# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24

  215,20190302,  206,   51,   56,  110,   20,   10,    1,  170,   19,   84,    9,    1,  120,   13,    0,    6,   27,   25,  674,   12,    4,    1,    5,10119,10173,    1,10072,   24,   26,    6,   66,   23,    8,   87,   97,    1,   74,   11,    9
  215,20190303,  215,   92,   94,  110,   20,   80,    4,  180,    9,  111,   92,    3,  121,   17,   90,    6,    0,    0,  136,  116,  105,   15,   12,10007,10065,    1, 9910,   24,   34,    4,   75,   21,    8,   87,   95,    4,   79,   21,    2
  215,20190304,  242,   95,  100,  120,   12,   70,    9,  240,    5,   82,   52,    8,  121,    1,   51,   12,   62,   56,  907,   18,   20,   10,    5, 9923, 9998,   24, 9844,    6,   50,    7,   75,    1,    7,   77,   89,    7,   70,   13,   13
  215,20190305,  239,   58,   64,   90,   13,   30,   20,  150,    2,   74,   52,   21,   96,   15,   35,   24,   79,   71,  968,   18,    7,    6,   24,10039,10069,   19, 9998,    1,   58,   24,   80,   14,    6,   76,   94,   24,   65,   16,   13
  215,20190306,  175,   59,   60,   70,    7,   40,    1,  130,   12,   97,   75,    1,  110,   20,   73,    6,    0,    0,  256,   94,   50,    9,   13, 9958,10048,    1, 9893,   24,   56,    1,   75,    7,    8,   85,   96,    1,   73,    8,    4
  215,20190307,  234,   95,  101,  150,   16,   40,    3,  260,   16,   89,   69,   24,  109,    2,   64,   24,   74,   66,  885,   81,  230,   93,    5, 9914, 9988,   24, 9846,    5,   29,    4,   73,   15,    7,   82,   98,    4,   64,   14,   13
  215,20190308,  254,   65,   75,  110,    1,   60,    8,  180,    1,   75,   53,    7,   96,   14,   50,   12,   47,   42,  883,   39,   52,   13,   21,10091,10133,   12,10004,    1,   41,   24,   78,   13,    7,   78,   93,   24,   65,   14,   12
  215,20190309,  254,   81,   83,  120,   13,   60,    5,  230,   14,   84,   51,   14,  106,   13,   53,   18,   32,   28,  615,   25,   60,   43,   14,10095,10136,   21,10060,    1,   50,    1,   68,    4,    7,   81,   95,    2,   71,   16,    9
  215,20190310,  265,   48,   67,  120,   13,   20,    7,  200,   13,   61,   37,   19,  103,   12,   31,   24,    9,    8,  317,  114,  168,   35,   11,10060,10120,   24, 9964,   12,   45,   11,   75,   21,    7,   84,   98,   10,   58,   21,    4
  215,20190311,  284,   84,   89,  120,    4,   20,   23,  190,    2,   54,    8,   24,   78,   15,   -5,   24,   44,   38,  776,    6,    4,    3,    5,10186,10244,   20,10119,    3,   58,    5,   79,    1,    7,   74,   91,   23,   67,    1,   10
  215,20190312,  210,   84,   96,  130,   14,   30,    1,  220,   14,   68,   38,    1,   91,   17,   25,    6,    0,    0,  390,   39,   56,   21,   18,10077,10221,    1, 9962,   18,   56,   18,   79,   11,    8,   76,   89,   19,   61,   13,    5
  215,20190313,  256,   88,   94,  110,    6,   70,   18,  220,   10,   76,   62,    1,   95,   14,   54,    6,   19,   16,  363,   35,   40,   10,   13,10026,10087,   23, 9992,   10,   57,   13,   66,   19,    7,   77,   82,   10,   72,    3,    5
  215,20190314,  263,   80,   85,  120,   12,   70,    1,  200,   12,   83,   66,    6,  107,   13,   64,    6,   14,   12,  485,   68,   88,   21,   10,10016,10087,    1, 9945,   11,   56,   10,   67,   23,    8,   81,   93,    6,   72,   15,    7
  215,20190315,  255,   73,   77,  120,   10,   40,    5,  220,   12,   92,   65,    6,  121,   13,   64,    6,    4,    3,  415,   45,   50,   20,   14,10044,10090,   24,10009,    8,   25,    6,   78,   23,    8,   85,   98,    6,   65,   23,    6
  215,20190316,  232,  103,  105,  140,   14,   30,    5,  250,   14,   98,   74,    5,  112,   22,   71,    6,    4,    3,  394,   69,   54,   12,    6,10030,10090,    1, 9959,   24,   37,    5,   80,   23,    8,   80,   97,    5,   65,   22,    6
  215,20190317,  260,   75,   80,  120,    1,   40,    5,  210,    1,   71,   50,   20,  101,    1,   37,   24,   83,   70, 1185,   47,   66,   23,    3,10025,10100,   24, 9946,    2,   41,    1,   80,   15,    5,   77,   94,    3,   61,   16,   16
  215,20190318,  302,   47,   49,   80,   11,   10,   21,  130,    5,   52,   -6,   22,   89,   11,  -21,   24,   91,   76, 1419,    0,   -1,   -1,    1,10187,10248,   24,10109,    1,   58,   24,   75,   16,    4,   77,   97,   22,   65,   11,   18
  215,20190319,  231,   19,   27,   60,   14,   10,    1,   90,   14,   57,  -20,    3,  118,   14,  -35,    6,   62,   51, 1126,    0,    0,    0,    1,10280,10304,   24,10251,    1,    5,    3,   81,   15,    6,   85,   99,    3,   58,   13,   15
  215,20190320,  234,   38,   39,   60,   16,   20,   21,  100,   16,   98,   67,   24,  130,   14,   49,   24,   28,   23,  836,    0,   -1,   -1,    1,10325,10343,   21,10302,    3,   56,   23,   74,   15,    8,   89,   98,   23,   77,   14,   12
  215,20190321,  236,   23,   27,   40,    9,   10,   20,   70,    8,   80,   29,    6,   97,   13,   20,    6,    0,    0,  235,    0,    0,    0,    1,10338,10348,    9,10324,   24,    1,    5,   70,   14,    8,   93,   99,    3,   88,   14,    3
  215,20190322,  238,   11,   30,   50,   21,   10,    2,   90,   22,   85,   64,   18,  159,   14,   68,   24,   52,   42, 1203,    0,    0,    0,    1,10294,10322,    1,10271,   15,    1,    6,   57,   13,    7,   94,  100,    7,   66,   13,   17
  215,20190323,  341,   28,   37,   60,   12,   10,    4,  100,   13,   72,    7,   23,  111,   13,   -6,   24,   28,   23,  771,    0,    0,    0,    1,10307,10328,   20,10274,    2,   19,    3,   74,   15,    8,   87,   98,    3,   69,   17,   10
  215,20190324,  286,   27,   32,   80,   24,   10,    4,  120,   24,   53,  -23,    6,   94,   13,  -27,    6,   85,   69, 1407,    0,    0,    0,    1,10281,10317,    1,10225,   24,    1,    6,   75,   19,    5,   83,  100,    4,   66,   15,   18
  215,20190325,  327,   85,   89,  110,    8,   60,   22,  180,   12,   77,   63,   11,   95,   13,   53,    6,   69,   55, 1312,    5,    9,    4,    2,10264,10323,   23,10216,    2,   61,    8,   71,   24,    6,   76,   84,   18,   69,    9,   18
  215,20190326,  303,   38,   40,   60,   10,   20,   22,   90,    1,   73,   31,    3,   98,   11,    4,    6,   41,   33, 1134,    0,    0,    0,    1,10321,10329,   10,10315,   15,   62,   17,   70,    5,    8,   82,   93,   24,   72,   13,   15
  215,20190327,  290,   23,   24,   40,   13,   10,    1,   70,   14,   82,   42,    5,  123,   14,   28,    6,   61,   48, 1263,    0,    0,    0,    1,10339,10353,   23,10323,    3,   57,   23,   76,   14,    8,   85,   97,    3,   64,   13,   18
  215,20190328,  307,   19,   20,   30,   10,   10,   19,   50,   11,   78,   19,   24,  102,   15,    5,   24,    2,    2,  546,    5,    1,    1,    9,10353,10364,   11,10342,   24,    1,   22,   63,   14,    7,   94,  100,   23,   87,    7,    8
  215,20190329,  330,    9,   16,   40,   15,    0,    4,   60,   15,   76,    8,    6,  161,   13,   -2,    6,  107,   84, 1689,    0,    0,    0,    1,10297,10338,    1,10244,   24,    0,    2,   60,   16,    2,   84,  100,    2,   55,   12,   23
  215,20190330,  343,   15,   18,   40,   12,    0,    3,   60,   12,   91,   25,    5,  161,   11,   -2,    6,   92,   72, 1589,    0,    0,    0,    1,10217,10238,    1,10206,   16,    1,    3,   60,    9,    3,   83,  100,    2,   61,   11,   23
  215,20190331,   48,   55,   56,   70,   12,   20,    1,  120,   22,   82,   38,   24,  118,   14,   31,   24,   74,   57, 1510,    0,   -1,   -1,    1,10254,10271,   22,10225,    1,   24,    1,   80,   18,    4,   73,   96,    2,   55,   13,   21
  215,20190401,   85,   42,   44,   60,    1,   20,   19,  100,    1,   75,   19,    6,  139,   15,   11,    6,  119,   92, 1887,    0,    0,    0,    1,10206,10267,    1,10128,   24,   67,   11,   81,   17,    1,   65,   76,    5,   47,   16,   26
  215,20190402,  197,   29,   41,   60,   12,   20,    7,  100,   13,   89,   44,    2,  152,   11,   24,    6,   31,   24,  925,   11,   14,   13,   16,10042,10119,    1,10008,   17,   35,   16,   70,   21,    7,   80,   93,   16,   64,   11,   13
  215,20190403,  164,   29,   34,   50,    1,   10,   24,  140,   13,   57,   13,   24,  102,   14,  -10,   24,   43,   33, 1116,    9,   23,   14,   11,10004,10017,    1, 9992,   18,    5,   24,   80,   14,    6,   86,   99,   24,   65,   14,   14
  215,20190404,  124,   29,   30,   50,   15,   10,    1,   70,   12,   53,   -6,    2,  107,   14,  -31,    6,   33,   25, 1172,    0,    0,    0,    1,10010,10050,   24, 9981,    4,    1,    1,   81,   14,    7,   85,  100,    2,   60,   15,   15
  215,20190405,   76,   31,   35,   50,   14,   20,    2,   80,   10,   76,    6,    5,  124,   13,  -21,    6,  113,   86, 1807,    0,    0,    0,    1,10064,10076,    8,10055,    1,   16,    5,   80,   14,    7,   78,   98,    2,   50,   14,   25
  215,20190406,   69,   25,   29,   40,    2,   10,   24,   70,    2,   97,   67,   22,  134,   15,   49,   24,   29,   22,  748,    5,    1,    1,    9,10055,10060,    7,10049,   16,   22,    8,   61,    1,    8,   86,   98,   22,   65,   15,   11
  215,20190407,   61,   27,   32,   50,   12,   10,    6,   90,   14,  147,   83,    5,  210,   14,   81,    6,  100,   75, 1622,    0,   -1,   -1,    1,10062,10084,   23,10047,    5,   16,    4,   79,   23,    7,   68,   98,    4,   46,   13,   27
  215,20190408,   20,    7,   28,   50,    1,   10,    5,   80,   11,  113,   55,   24,  201,   13,   43,   24,  110,   82, 1843,    0,    0,    0,    1,10106,10123,   20,10084,    1,    0,   21,   76,   12,    3,   78,  100,   21,   40,   12,   28
  215,20190409,   55,   60,   60,   70,    9,   30,    1,  130,   20,   95,   60,    6,  134,   15,   55,    6,  118,   88, 1808,    0,    0,    0,    1,10136,10156,   24,10124,    1,   58,    2,   80,   13,    6,   68,   90,    1,   48,   15,   26
  215,20190410,   45,   61,   62,   80,    8,   30,   24,  130,    8,   63,   27,   24,  102,   14,   16,   24,  123,   91, 2181,    0,    0,    0,    1,10192,10233,   24,10157,    1,   75,    1,   82,   19,    0,   62,   78,    5,   45,   15,   29
  215,20190411,   36,   46,   48,   70,    9,   30,    2,  120,   15,   60,    9,    4,  102,   14,    2,    6,  114,   84, 1870,    0,    0,    0,    1,10249,10262,   24,10233,    1,   70,    5,   81,   13,    2,   65,   85,    5,   45,   15,   24
  215,20190412,   53,   40,   45,   70,   16,   30,    5,  110,   17,   59,   20,   24,  100,   13,    4,   24,   75,   55, 1605,    0,    0,    0,    1,10265,10276,   22,10258,   15,   71,   11,   82,   18,    5,   62,   77,   24,   44,   13,   21
  215,20190413,   39,   34,   35,   60,   11,   10,    6,  130,   14,   31,  -22,    5,   81,   12,  -46,    6,   91,   66, 1667,    0,   -1,   -1,    1,10265,10279,    6,10251,   17,   59,    5,   82,   17,    3,   75,   96,    5,   50,   11,   20
  215,20190414,   55,   39,   41,   60,   12,   20,    1,  100,   11,   53,  -20,    2,  107,   15,  -36,    6,   90,   65, 1714,    0,    0,    0,    1,10264,10283,   23,10252,    2,   50,    1,   82,   19,    2,   72,   97,    2,   49,   16,   22
  215,20190415,   94,   50,   51,   80,   15,   30,    1,  120,   14,   97,   27,    1,  157,   16,    4,    6,   97,   70, 1890,    0,    0,    0,    1,10227,10275,    1,10181,   24,   61,    3,   81,   21,    4,   69,   89,    5,   49,   20,   27
  215,20190416,   81,   46,   48,   60,    6,   20,   22,  110,   13,  119,   64,    5,  180,   15,   50,   24,  103,   74, 1963,    0,    0,    0,    1,10167,10182,   24,10153,   15,   65,   22,   80,    4,    7,   60,   90,   24,   40,   15,   30
  215,20190417,  113,   30,   33,   50,   10,   10,   22,   90,   12,  121,   70,    5,  169,   13,   43,    6,   30,   21, 1075,    6,    2,    2,   16,10215,10240,   23,10186,    1,   56,   16,   80,   12,    8,   84,   94,    5,   69,   12,   17
  215,20190418,   80,   47,   48,   70,   16,   30,    1,  100,   10,  156,   95,    5,  212,   14,   80,    6,  120,   85, 2159,    0,    0,    0,    1,10251,10271,   23,10239,    1,   64,    1,   83,   19,    1,   53,   77,    1,   39,   16,   36
  215,20190419,   67,   37,   38,   50,    2,   20,   24,   90,   13,  166,  109,   24,  227,   15,   66,   24,  130,   92, 2214,    0,    0,    0,    1,10285,10297,   22,10271,    1,   63,   14,   82,   19,    2,   52,   79,   24,   35,   18,   38
  215,20190420,   57,   37,   38,   60,   11,   10,    1,  100,   16,  167,   85,    5,  233,   14,   44,    6,  130,   92, 2267,    0,    0,    0,    1,10286,10303,    7,10266,   24,   64,    5,   80,   11,    0,   53,   83,    1,   31,   14,   39
  215,20190421,   71,   30,   31,   50,   18,   20,    4,   80,   18,  157,   68,    5,  224,   16,   22,    6,  132,   93, 2270,    0,    0,    0,    1,10200,10260,    1,10144,   24,   61,    7,   80,   20,    0,   51,   72,    4,   32,   11,   38
  215,20190422,   94,   41,   42,   70,   13,   10,    2,  110,   13,  167,   76,    4,  237,   14,   23,    6,  126,   88, 2218,    0,    0,    0,    1,10079,10137,    1,10036,   24,   62,    6,   83,   20,    5,   53,   86,    3,   31,   13,   38
  215,20190423,   93,   50,   51,   70,    9,   30,   20,  120,   12,  151,   96,    5,  201,   13,   85,    6,  106,   74, 1939,    0,    0,    0,    1, 9989,10032,    1, 9960,   24,   69,   24,   83,    1,    8,   58,   78,   23,   47,   12,   32
  215,20190424,  167,   45,   48,   80,   12,   20,    5,  200,   16,  157,  107,    5,  234,   14,   89,    6,   86,   60, 1789,   46,  133,   64,   20, 9984,10025,   22, 9959,    1,   56,   20,   80,   18,    6,   75,   98,   20,   46,   13,   30
  215,20190425,  161,   44,   48,   70,   10,   20,   22,  130,   11,  120,   88,   24,  169,   12,   76,   24,   15,   10, 1051,   18,   42,   36,   14,10049,10090,   24,10024,    4,   64,   14,   80,   12,    7,   83,   95,    3,   62,   12,   16
  215,20190426,  222,   32,   38,   60,   14,   20,    1,  110,   15,  116,   61,    4,  165,   16,   37,    6,   84,   58, 1792,    0,    0,    0,    1,10119,10133,   20,10091,    1,   49,    2,   83,   18,    6,   79,   98,    2,   53,   15,   27
  215,20190427,  230,   62,   68,  100,   14,   30,   23,  180,   15,   99,   70,   24,  125,   10,   63,   24,   40,   27, 1298,   37,   60,   23,   24,10104,10135,   24,10084,    8,   50,    5,   80,   21,    8,   77,   97,    5,   64,   14,   19
  215,20190428,  258,    4,   20,   40,   18,   10,   11,   80,    1,   87,   44,   24,  121,   15,   25,   24,   19,   13,  820,   48,   72,   20,   12,10181,10235,   24,10131,    1,    5,   24,   75,   15,    7,   89,   99,   24,   75,   15,   12
  215,20190429,  359,   34,   37,   60,   14,    0,    6,   90,   16,   96,   24,    5,  147,   12,   -4,    6,  113,   77, 2273,    0,    0,    0,    1,10255,10263,    9,10240,    1,    0,    3,   80,   13,    5,   83,  100,    5,   67,   10,   33
  215,20190430,  354,   32,   33,   50,   12,   10,   24,   80,   16,  102,   90,   23,  118,   12,   88,   24,    0,    0,  720,    0,    0,    0,    1,10238,10253,    9,10212,   24,   60,   23,   70,    1,    8,   85,   90,   23,   82,    1,   11
  215,20190501,  300,   15,   18,   30,   13,   10,    3,   60,   13,   81,   28,   24,  108,   15,   -4,   24,   15,   10,  775,    0,    0,    0,    1,10178,10207,    1,10143,   24,    1,   24,   75,   10,    7,   86,  100,   24,   77,   16,   11
  215,20190502,  308,   29,   35,   60,   15,   10,    1,  100,   16,   89,   21,    1,  121,   16,   -6,    6,   19,   13,  873,   19,   11,    8,   12,10117,10137,    1,10106,   15,    0,    3,   70,   16,    8,   91,  100,    2,   83,   17,   12
  215,20190503,  317,   38,   41,   50,   13,   20,   23,  110,   24,   78,   48,   24,  101,   10,   44,   24,   25,   17, 1172,   49,   33,   11,   20,10133,10146,    8,10113,   24,   63,   20,   81,    7,    7,   75,   90,   20,   58,    7,   16
  215,20190504,  346,   65,   66,  100,   15,   20,   24,  170,    8,   66,   40,    5,   96,   13,   35,    6,  103,   68, 2014,   16,   20,    6,    3,10139,10192,   23,10106,    3,   62,    9,   80,   17,    5,   72,   95,   24,   62,   17,   27
  215,20190505,  341,   51,   55,   80,    8,   10,    1,  150,    3,   74,   42,    1,  107,   12,   16,   24,   87,   58, 2048,   15,   24,   11,    1,10220,10232,   14,10195,    1,   58,    1,   80,   16,    6,   72,   91,    1,   60,   10,   28
  215,20190506,  272,   29,   35,   70,   13,    0,   23,  120,   13,   76,   38,   23,  116,   12,   12,   24,   26,   17, 1283,    6,   15,   13,   20,10204,10215,    1,10198,   12,    2,   24,   80,    4,    8,   78,  100,   24,   62,   12,   18
  215,20190507,  128,   11,   18,   30,    8,   10,    1,   70,   10,   87,   32,    2,  137,   17,   12,    6,   42,   28, 1106,    7,    6,    4,   10,10157,10199,    1,10096,   24,    1,    1,   80,   15,    8,   78,   99,    1,   52,   16,   16
  215,20190508,  165,   33,   50,   70,   12,   30,    1,  150,   15,  103,   76,    3,  143,   16,   69,    6,   40,   26,  967,   26,   20,    5,   12, 9984,10085,    1, 9939,   15,   46,   12,   80,   16,    7,   78,   97,   13,   65,   17,   14
  215,20190509,  245,   27,   40,   60,   13,   30,    2,   90,    7,  117,   74,    5,  155,   13,   62,    6,  111,   72, 2327,   16,   81,   77,   22, 9978,10032,   24, 9944,    4,   50,   22,   75,    8,    5,   84,   97,   22,   69,   10,   36
  215,20190510,  336,   25,   29,   40,    1,   20,   17,   70,    1,  100,   62,   24,  131,   15,   35,   24,   72,   47, 2020,    0,    0,    0,    1,10095,10118,   20,10038,    1,   70,    1,   81,   17,    7,   76,   90,    1,   62,   16,   30
  215,20190511,    8,   48,   54,   90,   15,   20,   22,  130,   16,   94,   53,   22,  135,   10,   26,   24,  125,   81, 2488,    0,    0,    0,    1,10190,10288,   24,10112,    1,   70,    1,   81,   18,    4,   73,   86,    2,   64,   18,   36
  215,20190512,  352,   47,   49,   80,   16,   20,    4,  120,   14,   90,   42,   24,  128,   13,   16,    6,  116,   75, 2567,    2,    1,    1,    6,10356,10397,   24,10294,    1,   65,   24,   80,   10,    2,   73,   91,   24,   60,   11,   37
  215,20190513,   11,   32,   36,   70,   15,    0,    4,  100,   14,   92,   12,    5,  142,   12,  -20,    6,  135,   87, 2741,    0,    0,    0,    1,10397,10412,    9,10380,   24,    1,    3,   82,   20,    2,   75,  100,    3,   57,   10,   39
  215,20190514,   47,   36,   37,   50,   10,   10,    3,  100,   11,  107,   24,    5,  158,   16,    3,    6,  133,   85, 2675,    0,    0,    0,    1,10339,10379,    1,10299,   24,    1,    4,   81,   11,    3,   70,  100,    4,   47,   16,   40
  215,20190515,   62,   38,   40,   60,   22,   10,    5,  100,   16,  125,   54,    5,  170,   14,   26,    6,  135,   86, 2735,    0,    0,    0,    1,10266,10295,    1,10235,   24,   70,    1,   82,    9,    2,   58,   88,    4,   37,   13,   43
  215,20190516,   52,   49,   50,   70,   16,   30,    4,  120,   18,  124,   69,    4,  175,   16,   47,    6,  110,   70, 2346,    0,    0,    0,    1,10182,10234,    1,10117,   24,   75,    1,   82,    6,    4,   60,   77,   24,   41,   15,   36
  215,20190517,   92,   28,   30,   50,    8,   10,   21,   90,    7,  119,   84,   24,  145,   14,   50,   24,    2,    1,  682,    0,   -1,   -1,    1,10081,10111,    1,10064,   23,   18,   24,   75,    1,    8,   78,   98,   24,   66,   14,   10
  215,20190518,  337,   24,   24,   50,   14,    0,    4,   80,   16,  119,   42,    4,  170,   13,   17,    6,  102,   64, 2401,    0,    0,    0,    1,10068,10081,   21,10058,    4,    0,    3,   62,   10,    5,   84,  100,    5,   67,   10,   37
  215,20190519,  344,   54,   55,   80,   15,   20,    1,  120,   15,  122,  111,   19,  147,   12,  106,    6,    1,    1, 1103,    0,    0,    0,    1,10074,10081,   20,10068,   17,   16,   19,   57,    8,    8,   94,   98,   16,   88,    5,   17
  215,20190520,  331,   52,   54,   70,   17,   40,    1,  100,   17,  116,  106,   21,  127,   15,  107,   24,    0,    0,  694,    0,    0,    0,    1,10098,10125,   22,10072,    3,   12,   21,   60,   16,    8,   97,   98,    1,   92,   16,   11
  215,20190521,  319,   55,   56,   70,   13,   30,   23,  110,    5,  110,   99,    4,  126,   13,  100,    6,    0,    0,  687,   13,    2,    1,    1,10159,10187,   23,10123,    1,   12,    1,   70,   19,    8,   92,   98,    1,   83,   23,   10
  215,20190522,  295,   21,   25,   70,   12,    0,   19,  100,   12,  125,   73,   24,  175,   11,   27,   24,  112,   70, 2579,    0,    0,    0,    1,10197,10204,   15,10189,    1,    9,   22,   80,   18,    6,   79,  100,   22,   60,   18,   40
  215,20190523,  258,   19,   27,   60,   13,   10,    1,   90,   10,  136,   58,    3,  190,   15,   14,    6,  131,   82, 2651,    0,    0,    0,    1,10172,10190,    1,10152,   24,   35,   23,   83,   19,    6,   72,   98,    2,   46,   12,   42
  215,20190524,  306,   27,   33,   60,   14,   10,    1,   90,   14,  123,   69,   23,  177,   11,   33,    6,  133,   83, 2831,    0,    0,    0,    1,10160,10175,   22,10145,    3,    1,   22,   81,   15,    3,   81,   99,    2,   59,   17,   44
  215,20190525,  318,   15,   18,   40,   17,    0,    5,   60,   15,  121,   64,   24,  174,   12,   25,   24,   59,   37, 1782,    0,   -1,   -1,    1,10178,10187,   10,10161,   24,    0,   24,   80,   11,    7,   84,  100,   24,   69,   11,   28
  215,20190526,  233,   57,   59,  100,   15,   20,    1,  170,   15,  152,   64,    1,  194,   16,   27,    6,   31,   19, 1805,   43,   90,   25,   22,10119,10156,    1,10094,   21,   27,    1,   78,   16,    8,   84,   98,    1,   62,   15,   30
  215,20190527,  258,   44,   45,   80,   10,   10,   23,  120,   10,  135,   96,    3,  170,   15,   81,    6,  112,   69, 2578,    0,   -1,   -1,    1,10090,10101,    9,10069,   24,   57,   23,   80,    8,    7,   79,   98,   23,   59,   14,   41
  215,20190528,   11,   30,   35,   80,   16,   10,    1,  120,   17,  112,   54,   24,  157,   14,   10,   24,   58,   36, 1453,   46,   42,   19,    7,10115,10188,   24,10063,    2,    6,    3,   80,   12,    5,   84,   99,    3,   65,   17,   22
  215,20190529,  205,   26,   33,   70,   24,    0,    5,  120,   23,  126,   27,    4,  189,   15,   -2,    6,  109,   67, 2508,    0,   -1,   -1,    1,10205,10218,    8,10192,    1,    1,    4,   81,    9,    4,   72,  100,    5,   50,   15,   39
  215,20190530,  226,   58,   59,   70,   11,   50,    5,  130,   15,  163,  123,    1,  199,   16,  122,    6,   42,   26, 1697,   33,   18,    8,    2,10210,10231,   23,10185,    3,   17,    5,   80,   15,    8,   84,   98,    1,   67,   15,   29
  215,20190531,  243,   44,   48,   70,   12,   20,   24,  110,   13,  163,  120,   24,  192,   15,   88,   24,  101,   62, 2485,    0,    0,    0,    1,10237,10249,   12,10222,   24,   63,    1,   80,   13,    7,   77,   93,   24,   63,   16,   42
  215,20190601,  291,   11,   23,   40,   12,   10,    3,   70,   13,  171,   86,    4,  225,   16,   56,    6,  138,   84, 2735,    0,    0,    0,    1,10206,10223,    8,10167,   24,    2,    3,   80,   13,    8,   81,  100,    4,   61,   16,   47
  215,20190602,  199,   35,   42,   80,   13,   20,    2,  140,   13,  213,  140,    3,  295,   14,  110,    6,  108,   66, 2488,    3,    7,    4,   19,10120,10164,    1,10093,   15,   57,    3,   83,   18,    7,   67,   98,    3,   40,   15,   46
  215,20190603,  253,   37,   39,   60,    6,   10,   22,  100,    6,  155,   88,   24,  184,   17,   47,   24,   64,   39, 1889,    0,    0,    0,    1,10134,10148,   20,10106,    1,   63,    6,   80,   11,    6,   75,   97,   24,   50,   17,   32
  215,20190604,  130,   18,   36,   70,   14,   10,    1,  210,   20,  171,   72,    5,  229,   18,   33,    6,   74,   45, 1924,   10,   91,   83,   20,10077,10138,    1,10003,   19,    3,    3,   80,    9,    7,   75,  100,    4,   48,   12,   33
  215,20190605,  283,   19,   37,   60,   21,   20,    5,  110,   23,  150,  112,   23,  189,   11,  109,   24,   12,    7, 1046,   42,  121,   69,   22,10070,10090,   13,10037,   21,   37,    4,   75,   11,    8,   86,   98,    4,   71,   11,   17
  215,20190606,  263,   34,   41,   70,    5,    0,   23,  130,    5,  138,   92,   23,  175,   19,   60,   24,  108,   65, 2445,   34,   78,   62,    1,10115,10145,   21,10040,    1,   42,    4,   81,   14,    5,   78,   98,    4,   44,   18,   39
  215,20190607,  133,   46,   53,   80,   11,   30,    1,  150,   12,  150,   93,    1,  215,   13,   58,    6,   39,   24, 1404,   23,   24,   15,   23,10077,10136,    1,10041,   24,   64,    3,   80,   10,    7,   76,   88,    4,   54,   13,   23
  215,20190608,  218,  103,  107,  150,   14,   50,   24,  250,   14,  139,  118,   10,  173,   15,  114,    6,   64,   39, 1637,   43,   37,    9,    9,10129,10210,   24,10040,    1,   50,    9,   75,    2,    7,   77,   92,    9,   57,   14,   26
  215,20190609,  281,    6,   33,   40,    1,   20,   19,   90,   10,  152,  107,    4,  185,   10,  101,    6,   82,   49, 2284,    0,    0,    0,    1,10213,10232,    8,10182,   24,   60,    4,   80,   17,    8,   78,   97,    4,   61,   19,   38
  215,20190610,   46,   31,   36,   70,   10,   10,   22,  120,   10,  168,  137,    4,  211,   12,  132,    6,   28,   17, 1480,   26,   35,   18,   21,10124,10177,    1,10094,   18,    8,   23,   81,   12,    8,   82,  100,   23,   58,   10,   25
  215,20190611,  270,   26,   31,   60,   14,   10,    1,   90,   12,  144,  108,   22,  177,   15,   94,   24,   89,   53, 2460,    5,    1,    1,    1,10118,10128,   15,10102,    1,   20,    1,   80,   15,    7,   83,   98,    1,   65,   15,   40
  215,20190612,  298,    6,   20,   50,   10,    0,    3,  110,   13,  123,   79,   23,  141,    7,   52,   24,    4,    2,  312,   81,  220,   59,   12,10092,10116,    1,10079,   14,    1,   22,   70,    1,    6,   93,  100,   22,   82,    2,    5
  215,20190613,  188,   53,   55,   80,   10,   30,    1,  160,   13,  138,   92,    1,  173,   15,   67,    6,   27,   16, 1230,    7,   13,    8,   14,10098,10121,   23,10078,    3,   41,    1,   75,    9,    7,   84,   98,    1,   70,   11,   20
  215,20190614,  185,    3,   33,   50,   11,   20,    4,  100,   12,  154,  110,    2,  217,   14,   99,    6,   86,   51, 2069,   11,   19,   16,    9,10134,10140,    8,10118,    2,   60,    8,   81,   12,    6,   80,   97,    4,   59,   12,   34
  215,20190615,  315,   18,   25,   50,    4,    0,   22,   90,    4,  147,  106,   23,  202,   16,   83,   24,   36,   22, 1205,   66,  252,   89,    6,10141,10169,   24,10110,    7,   57,    4,   83,   16,    6,   86,   98,    5,   58,   16,   20
  215,20190616,  226,   31,   35,   60,   12,   20,    1,   90,   11,  162,  110,    1,  211,   16,   95,    6,  107,   64, 2098,    0,   -1,   -1,    1,10192,10208,   21,10165,    2,   58,    3,   81,   16,    5,   80,   96,    3,   63,   16,   36
  215,20190617,  230,   10,   26,   60,   10,    0,   23,  100,   10,  174,   97,    4,  243,   12,   75,    6,  123,   73, 2506,    0,    0,    0,    1,10190,10209,    1,10170,   24,    2,    2,   81,   18,    4,   78,  100,    3,   53,   12,   43
  215,20190618,  360,   19,   25,   50,   16,    0,    3,   70,   16,  185,  105,    2,  236,   14,   88,    6,   98,   58, 2529,    0,   -1,   -1,    1,10140,10167,    1,10096,   24,    1,    3,   80,    8,    7,   76,  100,    1,   62,    9,   45
  215,20190619,  244,   11,   30,   50,    7,   10,   19,  130,    7,  179,  147,   23,  229,   12,  141,    6,   46,   27, 1431,   21,   46,   23,    7,10075,10093,    1,10059,    8,   46,   23,   80,   12,    8,   86,   98,   23,   68,   12,   25
